Libcap;2.59;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-2.59.tar.xz;585540ad79ee2692722877c0c528d165
Libffi;3.4.2;https://github.com/libffi/libffi/releases/download/v3.4.2/libffi-3.4.2.tar.gz;294b921e6cf9ab0fbaea4b639f8fdbe8
Libpipeline;1.5.3;https://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.3.tar.gz;dad443d0911cf9f0f1bd90a334bc9004
Libtool;2.4.6;https://ftp.gnu.org/gnu/libtool/libtool-2.4.6.tar.xz;1bfb9b923f2c1339b4d2ce1807064aa5
Linux;5.14.8;https://www.kernel.org/pub/linux/kernel/v5.x/linux-5.14.8.tar.xz;ce6434b646ade20e292fb28c1aacde58
M4;1.4.19;https://ftp.gnu.org/gnu/m4/m4-1.4.19.tar.xz;0d90823e1426f1da2fd872df0311298d
Make;4.3;https://ftp.gnu.org/gnu/make/make-4.3.tar.gz;fc7a67ea86ace13195b0bce683fd4469
Man-DB;2.9.4;https://download.savannah.gnu.org/releases/man-db/man-db-2.9.4.tar.xz;6e233a555f7b9ae91ce7cd0faa322bce
Man-pages;5.13;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-5.13.tar.xz;3ac24e8c6fae26b801cb87ceb63c0a30
Meson;0.59.2;https://github.com/mesonbuild/meson/releases/download/0.59.2/meson-0.59.2.tar.gz;9d65e09b53b1dfab6339a0982176935d
MPC;1.2.1;https://ftp.gnu.org/gnu/mpc/mpc-1.2.1.tar.gz;9f16c976c25bb0f76b50be749cd7a3a8
MPFR;4.1.0;https://www.mpfr.org/mpfr-4.1.0/mpfr-4.1.0.tar.xz;bdd3d5efba9c17da8d83a35ec552baef
Ncurses;6.2;https://ftp.gnu.org/gnu/ncurses/ncurses-6.2.tar.gz;e812da327b1c2214ac1aed440ea3ae8d
Ninja;1.10.2;https://github.com/ninja-build/ninja/archive/v1.10.2/ninja-1.10.2.tar.gz;639f75bc2e3b19ab893eaf2c810d4eb4
OpenSSL;1.1.1l;https://www.openssl.org/source/openssl-1.1.1l.tar.gz;ac0d4387f3ba0ad741b0580dd45f6ff3
Patch;2.7.6;https://ftp.gnu.org/gnu/patch/patch-2.7.6.tar.xz;78ad9937e4caadcba1526ef1853730d5
Perl;5.34.0;https://www.cpan.org/src/5.0/perl-5.34.0.tar.xz;df7ecb0653440b26dc951ad9dbfab517
Pkg-config;0.29.2;https://pkg-config.freedesktop.org/releases/pkg-config-0.29.2.tar.gz;f6e931e319531b736fadc017f470e68a
Procps;3.3.17;https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-3.3.17.tar.xz;d60613e88c2f442ebd462b5a75313d56
Psmisc;23.4;https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-23.4.tar.xz;8114cd4489b95308efe2509c3a406bbf
Python;3.9.7;https://www.python.org/ftp/python/3.9.7/Python-3.9.7.tar.xz;fddb060b483bc01850a3f412eea1d954
PythonDocumentation;3.9.7;https://www.python.org/ftp/python/doc/3.9.7/python-3.9.7-docs-html.tar.bz2;ef3ea6141ed362e4d12467b136ee70fe
Readline;8.1;https://ftp.gnu.org/gnu/readline/readline-8.1.tar.gz;e9557dd5b1409f5d7b37ef717c64518e
Sed;4.8;https://ftp.gnu.org/gnu/sed/sed-4.8.tar.xz;6d906edfdb3202304059233f51f9a71d
Shadow;4.9;https://github.com/shadow-maint/shadow/releases/download/v4.9/shadow-4.9.tar.xz;126924090caf72f3de7e9261fd4e10ac
Sysklogd;1.5.1;https://www.infodrom.org/projects/sysklogd/download/sysklogd-1.5.1.tar.gz;c70599ab0d037fde724f7210c2c8d7f8
Sysvinit;3.00;https://download.savannah.gnu.org/releases/sysvinit/sysvinit-3.00.tar.xz;6d54ca5b648decb106103c01d415417f
Tar;1.34;https://ftp.gnu.org/gnu/tar/tar-1.34.tar.xz;9a08d29a9ac4727130b5708347c0f5cf
Tcl;8.6.11;https://downloads.sourceforge.net/tcl/tcl8.6.11-src.tar.gz;8a4c004f48984a03a7747e9ba06e4da4
TclDocumentation;8.6.11;https://downloads.sourceforge.net/tcl/tcl8.6.11-html.tar.gz;e358a9140c3a171e42f18c8a7f6a36ea
Texinfo;6.8;https://ftp.gnu.org/gnu/texinfo/texinfo-6.8.tar.xz;a91b404e30561a5df803e6eb3a53be71
TimeZoneData;2021b;https://www.iana.org/time-zones/repository/releases/tzdata2021b.tar.gz;f3b7d5040127e45ccd7ef0952e03edb2
Udev-lfsTarball;udev-lfs-20171102;https://anduin.linuxfromscratch.org/LFS/udev-lfs-20171102.tar.xz;27cd82f9a61422e186b9d6759ddf1634
Util-linux;2.37.2;https://www.kernel.org/pub/linux/utils/util-linux/v2.37/util-linux-2.37.2.tar.xz;d659bf7cd417d93dc609872f6334b019
Vim;8.2.3458;https://anduin.linuxfromscratch.org/LFS/vim-8.2.3458.tar.gz;29bdddab2dc2f6e10b2badba4ffad4bf
XML::Parser;2.46;https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-2.46.tar.gz;80bb18a8e6240fcf7ec2f7b57601c170
XzUtils;5.2.5;https://tukaani.org/xz/xz-5.2.5.tar.xz;aa1621ec7013a19abab52a8aff04fe5b
Zlib;1.2.11;https://zlib.net/zlib-1.2.11.tar.xz;85adef240c5f370b308da8c938951a68
Zstd;1.5.0;https://github.com/facebook/zstd/releases/download/v1.5.0/zstd-1.5.0.tar.gz;a6eb7fb1f2c21fa80030a47993853e92
